Property Address,Property Name,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,All-Inclusive,All-Suites,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Average Weighted Rent,Avg Asking/Bed,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Brand,Building Class,Building Operating Expenses,Building Park,Building Tax Expenses,Ceiling Ht,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Constr Status,Construction Begin,Construction Material,Continent,Core Factor,Country,Cross Street,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Exp Year,Features,Fema Flood Zone,Flood Risk Area,For Sale Price/Room,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Fund Name,Gas,Heating,Hotel Class,Hotel Grade,Hotel Location Type,Hotel Open Date,Hotel Operator,Land Area (AC),Land Area (SF),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Max Building Contiguous Space,Max Contig Mtg Space,Max Floor Contiguous Space,Month Built,Month Renovated,Mtg Rooms,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number of Beds,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Studios Units,Office Space,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Operation Type,Operational Status,Ops Expense,Ops Expense Per SF,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parent Company,Parking Ratio,Parking Spaces/Room,Percent Leased,Power,Pre-Leasing,Primary Agent Name,Primary Corridors,Property Location,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Proposed Land Use,Rail Lines,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent/SF/Yr,Restaurant,Rooms,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,Scale,Services,Sewer,Smallest Available Space,Sprinklers,Studio Asking Rent/Bed,Studio Asking Rent/SF,Studio Asking Rent/Unit,Studio Avg SF,Studio Concessions %,Studio Effective Rent/Bed,Studio Effective Rent/SF,Studio Effective Rent/Unit,Studio Vacancy %,Studio Vacant Units,Subcontinent,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Total Available Space (SF),Total Buildings,Total Mtg Space,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Typical Floor Size,University,Water,Zoning
1001 University Blvd,1001 University Blvd,4,,,Under Construction,157,Low-Rise,125600,Apartments,Austin,Round Rock,Round Rock,TX,78665,Williamson,,N,2022,,3,,,,757.00,"1,216",1.60,"1,216",1.60,0.00,,99.37,0.63,,,Affordable,Rent Restricted,Senior,,,0,12/20/2019,48491C0485F,48491C,0485F,No,100-year and 500-year Floodplain,No,No,Pool,,,,-,,,,,,,,,A,2020 Tax @ $213.65/Unit,,2020 Tax @ $213.65/Unit,,Austin-Bergstrom International,32.22,,,Under Construction,Oct 2021,,Americas,,United States,,"Cornerstone Associates, LLC",,,0,,,Pool,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,,,,,30.5660954,,,,,,,-97.6666585,,,,9,,,157,,,,,,0,,,,"1,216",1.60,"1,216",758,0.00,"1,216",1.60,"1,216",,,,,,,2213 Fort Graham Rd,"Waco, TX 76705",,May Grace Family Trust,2548292976,R055411,R055411,,,,,,,,,,1001 University Blvd,"Round Rock, TX 78665-9458",,Beacon Management - 1001 University Blvd,,11152242,Multi-Family,,,,,,,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Round Rock,2020,0.27,33970.97,,,,,,,,,,,,,1,,,,,,,,2213 Fort Graham Rd,"Waco, TX 76705",,May Grace Family Trust,2548292976,,,,,,,,,,,41867,,,
1330 W University Ave,Grand Living at Georgetown,4,,,Existing,186,Mid-Rise,200000,Apartments,Austin,Georgetown-Leander,Georgetown,TX,78628,Williamson,,N,2021,,4,,,33.3,671.00,"4,492",6.69,"4,492",6.69,0.00,37.63,44.09,18.28,,,Market,,Senior,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Controlled Access, Concierge, Courtyard, Fitness Center, Picnic Area, Pool, Spa, Media Center/Movie Theatre, On-Site Retail, Pet Play Area, Planned Social Activities, Hearing Impaired Accessible, Lounge, Maintenance on site, Meal Service, Multi Use Room, Pet Washing Station, Vision Impaired Accessible, Den",,,,-,,,,,,,,,B,2021 Tax @ $1532.38/Unit,,2021 Tax @ $1532.38/Unit,,,,,,Existing,Apr 2021,,Americas,,United States,,"Ryan Companies US, Inc.",,,0,,,"24 Hour Access, Air Conditioning, Controlled Access, Concierge, Courtyard, Fitness Center, Picnic Area, Pool, Spa, Media Center/Movie Theatre, On-Site Retail, Pet Play Area, Planned Social Activities, Hearing Impaired Accessible, Lounge, Maintenance on site, Meal Service, Multi Use Room, Pet Washing Station, Vision Impaired Accessible, Den","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,5.01,218436,,,30.6333425,,,,,,,-97.7057224,,,,12,,,82,34,,,,,0,,70,,"4,453",6.36,"4,453",700,0.00,"4,453",6.36,"4,453",32.90,27,,,,,7825 Washington Ave S Suite # 810,"Minneapolis, MN 55439-2430",,Grand Living,7632184856,R584230,R584230,,,,,,,,,,1330 W University Ave,"Georgetown, TX 78628",,Grand Living - Grand Living at Georgetown,5126491339,10781973,Multi-Family,,,2027 61st St,"Temple, TX 76504",,Morris Venture Partners Iv Llc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,"3,803",6.91,"3,803",550.,0.00,"3,803",6.91,"3,803",32.90,23,North America,,,0,Georgetown-Leander,2021,1.43,285022.56,,,,,,,,,,,,,1,,,,,,,,7825 Washington Ave S Suite # 810,"Minneapolis, MN 55439-2430",,Grand Living,7632184856,"3,002",7.06,"6,004",850,0.00,"3,002",7.06,"6,004",32.40,11,50000,,,
12601 US 290,The Grassdale at Manor,3,,,Existing,320,Garden,357000,Apartments,Austin,Northeast Austin,Manor,TX,78653,Travis,,N,2021,,2,,,52.6,818.00,"1,449",1.77,"1,362",1.66,6.00,,49.06,33.44,17.50,,Market,,All,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Fitness Center, Laundry Facilities, Playground, Pool, Gated, Pet Play Area, Maintenance on site",,,Callaway Architecture LLC,-,,,,,,,,,B,2021 Tax @ $31.41/Unit,,2021 Tax @ $31.41/Unit,,Austin-Bergstrom International,21.64,,,Existing,Dec 2020,Wood Frame,Americas,,United States,,,,,0,,,"Air Conditioning, Fitness Center, Laundry Facilities, Playground, Pool, Gated, Pet Play Area, Maintenance on site","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,18.51,806509,,,30.348215,,,,,,,-97.52968,,,,12,,,157,107,56,,,,0,,,,"1,273",1.92,"1,273",663,6.00,"1,197",1.80,"1,197",52.90,83,,,,,16051 Addison Rd Suite # 201,"Addison, TX 75001-3295",,Walker Holder Residential,9722392277,02376901270000,02376901280000,,,,,,,,,,12601 US 290,"Manor, TX 78653",,Walker Holder - The Grassdale at Manor,7372010003,11476135,Multi-Family,,,16051 Addison Rd,"Addison, TX 75001-3295",,Grassdale At Manor Llc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Northeast Austin,2021,0.03,10052.68,,589,1.65,"1,768",1073,6.00,554,1.55,"1,662",51.80,29,,10,,,,,,,,16051 Addison Rd Suite # 201,"Addison, TX 75001-3295",,Walker Holder Residential,9722392277,769,1.69,"1,539",912,6.00,723,1.59,"1,447",52.30,56,178500,,,
7870 US 290 Hwy W,Yaupon by Windsor,4,,,Existing,300,Low-Rise,258600,Apartments,Austin,West Oak Hill,Austin,TX,78736-3227,Travis,,N,2020,,3,,,4.0,858.00,"1,796",2.09,"1,790",2.08,0.40,,68.67,29.00,2.33,,Market,,All,,,0,01/22/2020,48453C0560J,48453C,0560J,No,100-year and 500-year Floodplain,No,No,"Business Center, Fitness Center, Pool, Grill, Pet Play Area, Putting Greens, Conference Rooms, Lounge, Pet Washing Station, Island Kitchen, Patio, Vinyl Flooring",,,,-,,,,,,,,,B,2021 Tax @ $195.51/Unit,,2021 Tax @ $195.51/Unit,,Austin-Bergstrom International,17.04,,,Existing,Jun 2019,,Americas,,United States,,Davies Collaborative,,,0,,,"Business Center, Fitness Center, Pool, Grill, Pet Play Area, Putting Greens, Conference Rooms, Lounge, Pet Washing Station, Island Kitchen, Patio, Vinyl Flooring","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,36.81,1603618,11/18/2021,,30.2322832,98 San Jacinto Blvd Suite # 515,"Austin, TX 78701    ",Brett Denton,,Burnet GP LLC,,-97.8851233,,,,12,,,206,87,7,,,,0,,,,"1,559",2.19,"1,559",712,0.40,"1,554",2.18,"1,554",3.90,8,,,,,125 High St,"Boston, MA 02110-2704",,Windsor Communities,6179739680,04154704010000,04154704010000,,,,,,,Brett Denton,,,7870 US 290 Hwy W,"Austin, TX 78736-3227",,Windsor - Yaupon,5122885006,11282718,Multi-Family,,,125 High St Suite # 27th Floor,"Boston, MA 02110",,Imp Yaupon LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Southwest Austin,2021,0.23,58653.18,,"1,117",2.23,"3,350",1505,0.40,"1,113",2.22,"3,338",0.00,0,,1,,,,,,,,125 High St,"Boston, MA 02110-2704",,Windsor Communities,6179739680,"1,116",1.93,"2,232",1155,0.40,"1,112",1.93,"2,224",3.50,3,4920,,,PUD-NP
7880 US 290 Hwy W,Palo Verde,5,,,Existing,296,Mid-Rise,296000,Apartments,Austin,West Oak Hill,Austin,TX,78736,Travis,,N,2018,,4,,,2.4,868.00,"1,804",2.08,"1,804",2.08,0.00,,69.59,26.69,3.72,,Market,,All,,,0,01/22/2020,48453C0560J,48453C,0560J,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Cabana, Grill, Pet Play Area, Patio",,,Ardent Residential,-,,,,,,,,,A,2021 Tax @ $4711.10/Unit,,2021 Tax @ $4711.10/Unit,,Austin-Bergstrom International,16.75,,,Existing,Nov 2017,,Americas,,United States,,Ardent Residential,,,0,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Cabana, Grill, Pet Play Area, Patio","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,28.21,1228610,2/28/2020,"64,824,000",30.2309938,,,,,,,-97.8868801,,,,7,,,206,79,11,,,,0,,,,"1,677",2.32,"1,677",724,0.00,"1,677",2.32,"1,677",2.40,5,,,,,18100 Von Karman Ave Suite # 500,"Irvine, CA 92612-0169",Mark Closas,"Steadfast Management Company, Inc.",9498520700,04154704020000,04154704020000,,,,,,,,,,7880 US 290 Hwy W,"Austin, TX 78736",,Steadfast - Palo Verde,5123940477,10614149,Multi-Family,,,18100 Von Karman Ave Suite # 500,"Irvine, CA 92612",,Steadfast Palo Verde LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Southwest Austin,2021,4.71,1394485.58,,867,1.72,"2,602",1516,0.40,864,1.71,"2,591",0.00,0,,9,,,,,,,,18100 Von Karman Ave Suite # 500,"Irvine, CA 92612-0169",Mark Closas,"Steadfast Management Company, Inc.",9498520700,"1,012",1.75,"2,025",1154,0.00,"1,012",1.75,"2,025",2.50,2,74000,,,PUD-NP
12219 US HWY 290 E,Commons at Manor Village,4,,,Existing,172,Low-Rise,191000,Apartments,Austin,Northeast Austin,Manor,TX,78653,Travis,,N,2021,,3,,,37.2,870.00,"1,406",1.62,"1,406",1.62,0.00,,33.72,66.28,,,Market/Affordable,Rent Restricted,Senior,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Clubhouse, Fenced Lot, Fitness Center, Laundry Facilities, Pool, Cabana, Grill, Package Service, Lounge, Freezer, Pantry",,,,-,,,,,,,,,B,2021 Tax @ $2979.76/Unit,,2021 Tax @ $2979.76/Unit,,Austin-Bergstrom International,21.59,,,Existing,Nov 2018,Reinforced Concrete,Americas,,United States,,LDG Development,,,0,,,"Air Conditioning, Business Center, Clubhouse, Fenced Lot, Fitness Center, Laundry Facilities, Pool, Cabana, Grill, Package Service, Lounge, Freezer, Pantry","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,10.38,452153,,,30.3473117,,,,,,,-97.5361132,,,,8,,,58,114,,,,,0,,,,"1,242",1.67,"1,242",743,0.00,"1,242",1.67,"1,242",37.90,22,,,,,1469 S 4th St Suite # 100,"Louisville, KY 40208",Chris Dischinger,LDG Development,5026380534,02376701050000,02376701050000,,,,,,,,,,12219 US HWY 290 E,"Manor, TX 78653",,Solidago - Commons at Manor Village,,11272547,Multi-Family,,,1469 S 4th St,"Louisville, KY 40208",,"LDG Commons at Manor Village, LP",,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Northeast Austin,2021,2.68,512519.35,,,,,,,,,,,,,1,,,,,,,,1469 S 4th St Suite # 100,"Louisville, KY 40208",Chris Dischinger,LDG Development,5026380534,745,1.59,"1,489",935,0.00,745,1.59,"1,489",36.80,42,63667,,,M1
5313 Vega Ave,The Markson,4,,,Under Construction,330,Mid-Rise,392093,Apartments,Austin,East Oak Hill,Austin,TX,78735,Travis,,N,2022,,4,,,,,,,,,0.00,,45.45,15.15,39.39,,Market,,All,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,,,,,-,,,,,,,,,B,2021 Tax @ $305.04/Unit,,2021 Tax @ $305.04/Unit,,Downtown Station,8.69,,,Under Construction,Apr 2021,,Americas,,United States,,The NRP Group,,,0,,,,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,49.98,2177129,,,30.2478386,,,,,,,-97.8524158,,,,8,,,150,50,130,,,,0,,,,,,,,,,,,,,,,,,1228 Euclid Ave Suite # 400,"Cleveland, OH 44115-1834",,The NRP Group,2164758900,04043001090000,04043001090000,,,,,,,,,,,,,,,12206497,Multi-Family,,,1112 31st St,"Austin, TX 78705",,St Andrews Episcopal School Inc,5122999800,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Southwest Austin,2021,0.26,100664.39,,,,,,,,,,,,,1,,,,,,,,1228 Euclid Ave Suite # 400,"Cleveland, OH 44115-1834",,The NRP Group,2164758900,,,,,,,,,,,98023,,,
701 N Vista Ridge Blvd,The Allure,3,,,Existing,334,Garden,329104,Apartments,Austin,Cedar Park,Cedar Park,TX,78613,Williamson,,N,2013,,3,,,2.1,985.00,"1,860",1.89,"1,852",1.88,0.40,,45.81,39.82,14.37,,Market,,All,2.00,668,0,12/20/2019,48491C0470F,48491C,0470F,Yes,100-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Pool, Gated, Cabana, Gameroom, Grill, Pet Play Area, Smoke Free, Trash Pickup - Door to Door, Car Charging Station, Conference Rooms, Sundeck",,,,-,,,,,,,,,B,2021 Tax @ $3942.82/Unit,,2021 Tax @ $3942.82/Unit,,Lakeline Station,5.40,,,Existing,Apr 2012,Wood Frame,Americas,,United States,,The NRP Group,,,0,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Pool, Gated, Cabana, Gameroom, Grill, Pet Play Area, Smoke Free, Trash Pickup - Door to Door, Car Charging Station, Conference Rooms, Sundeck",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,19.97,869893,3/31/2021,"51,073,922",30.5280273,,,,,,,-97.7926236,,,,10,,,153,133,48,,,,0,,,,"1,460",2.10,"1,460",696,0.40,"1,454",2.09,"1,454",2.00,3,,,,,7 St. Thomas St Suite # 801,"Toronto, ON M5S 1K5",,"Tricon Capital Group, Inc.",4169257228,R502512,R502512,,2.03,,,,,,,,701 N Vista Ridge Blvd,"Cedar Park, TX 78613-7569",,Tricon - The Allure,5129867358,9006481,Multi-Family,,,,,,,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Cedar Park,2021,4.,1316900.48,,842,1.85,"2,525",1364,0.40,838,1.84,"2,515",2.10,1,,22,,,,,,,,7 St. Thomas St Suite # 801,"Toronto, ON M5S 1K5",,"Tricon Capital Group, Inc.",4169257228,"1,040",1.76,"2,080",1181,0.40,"1,036",1.75,"2,072",2.30,3,7598,,,
2500 Walsh Tarlton Ln,Westerly Three Sixty,4,,,Existing,189,Garden,187860,Apartments,Austin,Woods Of Westlake,Austin,TX,78746,Travis,,N,2017,,3,,,4.0,991.00,"2,779",2.80,"2,764",2.79,0.50,,71.43,22.22,6.35,,Market,,All,,,0,01/22/2020,48453C0445K,48453C,0445K,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Courtyard, Fitness Center, Property Manager on Site, Gated, Grill, Media Center/Movie Theatre, Storage Space, Bicycle Storage, Conference Rooms, Lounge, Pet Washing Station, Island Kitchen, Patio, Wheelchair Accessible (Rooms)",,,JHP Architecture,-,,,,,,,,,A,2021 Tax @ $6405.90/Unit,,2021 Tax @ $6405.90/Unit,,Downtown Station,6.42,,,Existing,Jul 2016,Wood Frame,Americas,,United States,,Centro,,,0,,,"Air Conditioning, Business Center, Courtyard, Fitness Center, Property Manager on Site, Gated, Grill, Media Center/Movie Theatre, Storage Space, Bicycle Storage, Conference Rooms, Lounge, Pet Washing Station, Island Kitchen, Patio, Wheelchair Accessible (Rooms)","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,5.41,235812,8/20/2020,,30.26017,,,,,,,-97.8106118,,,,11,,,135,42,12,,,,4,,,,"2,156",2.67,"2,156",806,0.60,"2,144",2.66,"2,144",3.70,5,,,,,14 Corporate Plaza Dr Suite # 210,"Newport Beach, CA 92660-7913",,CWS Capital Partners LLC,9496404200,01031502030000,01031502030000,,,,,,,,,,2500 Walsh Tarlton Ln,"Austin, TX 78746",,CWS Apartments - Westerly Three Sixty,5123279378,9432073,Multi-Family,,,14 Corporate Plz Suite # 210,"Newport Beach, CA 92660",,Austin 360 LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Southwest Austin,2021,6.44,1210714.19,,"2,073",2.83,"6,219",2194,0.50,"2,062",2.82,"6,185",0.00,0,,8,,,,,,,,14 Corporate Plaza Dr Suite # 210,"Newport Beach, CA 92660-7913",,CWS Capital Partners LLC,9496404200,"1,900",3.06,"3,800",1243,0.60,"1,890",3.04,"3,779",4.80,2,62620,,,GR-MU
2223 Waterloo City Ln,Lakeshore Pearl Apartments,4,,,Existing,199,Low-Rise,275783,Apartments,Austin,South Shore,Austin,TX,78741,Travis,,N,2013,2020,3,,,1.8,850.00,"1,749",2.06,"1,742",2.05,0.40,,60.80,37.19,2.01,,Market,,All,1.39,320,0,01/22/2020,48453C0605K,48453C,0605K,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Clubhouse, Fitness Center, Pool, Grill, Storage Space, Bicycle Storage, Deck, Green Community",,,,-,,,,,,,,,B,2021 Tax @ $5975.07/Unit,,2021 Tax @ $5975.07/Unit,,Downtown Station,2.29,,,Existing,,Reinforced Concrete,Americas,,United States,,Argyle Residential,,,0,,,"Air Conditioning, Clubhouse, Fitness Center, Pool, Grill, Storage Space, Bicycle Storage, Deck, Green Community","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,LaSalle Income & Growth VII,,,,,,,,6.00,261273,2/19/2018,"50,500,000",30.2419182,,,,,,,-97.7235907,,,,1,10,,121,74,4,,,,2,,,,"1,524",2.33,"1,524",655,0.40,"1,518",2.32,"1,518",1.70,2,,,,,333 W Wacker Dr Suite # 2300,"Chicago, IL 60606-1220",,LaSalle Investment Management,3128974000,03030901110000,03030901110000,,1.59,,,,,,,,2223 Waterloo City Ln,"Austin, TX 78741",,Greystar - Lakeshore Pearl Apartments,5124482223,9176518,Multi-Family,,,1601 S Mo Pac Expy,"Austin, TX 78746-7009",,LSP 2.0 LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Riverside,2021,4.31,1189039.11,,951,1.93,"2,853",1480,0.40,947,1.92,"2,842",0.00,0,,1,,,,,,,,333 W Wacker Dr Suite # 2300,"Chicago, IL 60606-1220",,LaSalle Investment Management,3128974000,"1,029",1.81,"2,057",1136,0.40,"1,025",1.80,"2,049",1.40,1,91927,,,CG
330 Wells Branch Pky,Edenbrook Ridge Apartments,4,,,Under Construction,336,Low-Rise,444370,Apartments,Austin,Pflugerville,Pflugerville,TX,78660,Travis,,N,2022,,3,,,,,,,,,0.00,,100.00,,,,Market,,All,0.00,,0,08/18/2014,48453C0270J,48453C,0270J,No,100-year and 500-year Floodplain,No,No,,,,,-,,,,,,,,,A,2021 Tax @ $0.02/Unit,,2021 Tax @ $0.02/Unit,,Howard Station,4.31,,,Under Construction,Nov 2020,Wood Frame,Americas,,United States,,CIP Construction,,,0,,,,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,24.23,1055656,,,30.4309137,,,,,,,-97.6439663,,,,12,,,336,,,,,,0,,,,,,,,,,,,,,,,,,10 E 53rd St,"New York, NY 10022-5244",,JEM Holdings,6465322453,02673101390000,02673101390000,,,,,,,,,,,,,,,9941819,Multi-Family,,,10 53rd St,"New York, NY 10022",,Northtown Phase 1 Llc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Pflugerville,2021,0.,5.21,,,,,,,,,,,,,13,,,,,,,,10 E 53rd St,"New York, NY 10022-5244",,JEM Holdings,6465322453,,,,,,,,,,,148123,,,
610 E Wells Branch Pky,The Parker,3,,,Under Construction,100,Garden,650000,Apartments,Austin,Pflugerville,Austin,TX,78660,Travis,,N,2023,,3,,,,998.00,"1,844",1.85,"1,844",1.85,0.00,,41.00,41.00,18.00,,Market,,All,,,0,01/01/1900,,,,No,100-year and 500-year Floodplain,No,No,,,,,-,,,,,,,,,C,,,,,Howard Station,3.89,,,Under Construction,May 2022,,Americas,,United States,,,,,0,,,,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,25.84,1125590,,,30.430011,,,,,,,-97.6507395,,,,1,,,41,41,18,,,,0,,,,"1,538",1.97,"1,538",782,0.00,"1,538",1.97,"1,538",,,,,,,,,,,,,,,,,,,,,,,610 E Wells Branch Pky,"Austin, TX 78660",,Asset Living - The Parker,,12358617,Multi-Family,,,,,,,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Pflugerville,,,,,850,1.75,"2,550",1454,0.00,850,1.75,"2,550",,,,10,,,,,,,,,,,,,920,1.81,"1,840",1014,0.00,920,1.81,"1,840",,,216667,,,
